Borough,Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Bronx,All Students,All Students,2001,4 year June,11453,4913,42.9,2644,23.1,53.8,998,8.7,20.3,1646,14.4,33.5,2271,19.8,46.2,3512,30.7,2438,21.3,520,4.5,67,0.6
Bronx,All Students,All Students,2012,5 year August,13802,9663,70.0,8587,62.2,88.9,1505,10.9,15.6,7082,51.3,73.3,1076,7.8,11.1,1342,9.7,2377,17.2,287,2.1,121,0.9
Bronx,All Students,All Students,2011,5 year August,14187,9686,68.3,8680,61.2,89.6,1497,10.6,15.5,7183,50.6,74.2,1006,7.1,10.4,1329,9.4,2661,18.8,355,2.5,140,1
Bronx,All Students,All Students,2010,5 year August,14144,9330,66.0,8375,59.2,89.8,1478,10.4,15.8,6897,48.8,73.9,955,6.8,10.2,1518,10.7,2771,19.6,353,2.5,158,1.1
Bronx,All Students,All Students,2009,5 year August,14971,9721,64.9,8838,59.0,90.9,1581,10.6,16.3,7257,48.5,74.7,883,5.9,9.1,1710,11.4,3013,20.1,317,2.1,198,1.3
Bronx,All Students,All Students,2008,5 year August,15407,9579,62.2,8768,56.9,91.5,1558,10.1,16.3,7210,46.8,75.3,811,5.3,8.5,1761,11.4,3233,21,608,3.9,213,1.4
Bronx,All Students,All Students,2007,5 year August,15798,10063,63.7,7679,48.6,76.3,1592,10.1,15.8,6087,38.5,60.5,2384,15.1,23.7,1092,6.9,3756,23.8,583,3.7,277,1.8
Bronx,All Students,All Students,2006,5 year August,15989,10112,63.2,6874,43.0,68.0,1577,9.9,15.6,5297,33.1,52.4,3238,20.3,32,1402,8.8,3346,20.9,726,4.5,382,2.4
Bronx,All Students,All Students,2012,5 year June,13802,9570,69.3,8535,61.8,89.2,1505,10.9,15.7,7030,50.9,73.5,1035,7.5,10.8,1431,10.4,2381,17.3,287,2.1,121,0.9
Bronx,All Students,All Students,2011,5 year June,14187,9547,67.3,8589,60.5,90.0,1497,10.6,15.7,7092,50,74.3,958,6.8,10,1466,10.3,2662,18.8,356,2.5,140,1
Bronx,All Students,All Students,2010,5 year June,14144,9193,65.0,8274,58.5,90.0,1478,10.4,16.1,6796,48,73.9,919,6.5,10,1649,11.7,2775,19.6,355,2.5,158,1.1
Bronx,All Students,All Students,2009,5 year June,14971,9507,63.5,8664,57.9,91.1,1581,10.6,16.6,7083,47.3,74.5,843,5.6,8.9,1918,12.8,3016,20.1,320,2.1,198,1.3
Bronx,All Students,All Students,2008,5 year June,15407,9383,60.9,8617,55.9,91.8,1558,10.1,16.6,7059,45.8,75.2,766,5,8.2,1945,12.6,3239,21,613,4,213,1.4
Bronx,All Students,All Students,2007,5 year June,15798,9897,62.6,7610,48.2,76.9,1592,10.1,16.1,6018,38.1,60.8,2287,14.5,23.1,1202,7.6,3806,24.1,589,3.7,277,1.8
Bronx,All Students,All Students,2006,5 year June,15989,9922,62.1,6822,42.7,68.8,1577,9.9,15.9,5245,32.8,52.9,3100,19.4,31.2,1530,9.6,3412,21.3,726,4.5,376,2.4
Bronx,All Students,All Students,2005,5 year June,15447,9680,62.7,6090,39.4,62.9,1561,10.1,16.1,4529,29.3,46.8,3590,23.2,37.1,1569,10.2,3100,20.1,637,4.1,437,2.8
Bronx,All Students,All Students,2004,5 year June,14465,8856,61.2,4981,34.4,56.2,1421,9.8,16,3560,24.6,40.2,3875,26.8,43.8,1587,11,2991,20.7,574,4,454,3.1
Bronx,All Students,All Students,2003,5 year June,13632,7728,56.7,4179,30.7,54.1,1271,9.3,16.4,2908,21.3,37.6,3549,26,45.9,1879,13.8,3211,23.6,602,4.4,197,1.4
Bronx,All Students,All Students,2002,5 year June,12032,6582,54.7,3401,28.3,51.7,1013,8.4,15.4,2388,19.8,36.3,3232,26.9,49.1,1724,14.3,3008,25,464,3.9,199,1.7
Bronx,All Students,All Students,2001,5 year June,11453,6058,52.9,2859,25.0,47.2,1022,8.9,16.9,1837,16,30.3,3209,28,53,1412,12.3,3178,27.7,727,6.3,67,0.6
Bronx,All Students,All Students,2011,6 year June,14241,9939,69.8,8835,62.0,88.9,1497,10.5,15.1,7338,51.5,73.8,1104,7.8,11.1,933,6.6,2842,20,361,2.5,156,1.1
Bronx,All Students,All Students,2010,6 year June,14105,9663,68.5,8587,60.9,88.9,1478,10.5,15.3,7109,50.4,73.6,1076,7.6,11.1,924,6.6,2980,21.1,366,2.6,161,1.1
Bronx,All Students,All Students,2009,6 year June,14952,10072,67.4,9096,60.8,90.3,1581,10.6,15.7,7515,50.3,74.6,976,6.5,9.7,1064,7.1,3261,21.8,336,2.2,205,1.4
Bronx,All Students,All Students,2008,6 year June,15361,9917,64.6,9013,58.7,90.9,1558,10.1,15.7,7455,48.5,75.2,904,5.9,9.1,988,6.4,3455,22.5,792,5.2,199,1.3
Bronx,All Students,All Students,2007,6 year June,15690,10364,66.1,7825,49.9,75.5,1592,10.1,15.4,6233,39.7,60.1,2539,16.2,24.5,568,3.6,3859,24.6,618,3.9,259,1.7
Bronx,All Students,All Students,2006,6 year June,15510,10372,66.9,6929,44.7,66.8,1576,10.2,15.2,5353,34.5,51.6,3443,22.2,33.2,632,4.1,3477,22.4,654,4.2,350,2.3
Bronx,All Students,All Students,2005,6 year June,15470,10139,65.5,6183,40.0,61.0,1563,10.1,15.4,4620,29.9,45.6,3956,25.6,39,966,6.2,3264,21.1,684,4.4,388,2.5
Bronx,All Students,All Students,2004,6 year June,14452,9307,64.4,5065,35.0,54.4,1424,9.9,15.3,3641,25.2,39.1,4242,29.4,45.6,1094,7.6,3233,22.4,587,4.1,201,1.4
Bronx,All Students,All Students,2003,6 year June,13681,8186,59.8,4255,31.1,52.0,1272,9.3,15.5,2983,21.8,36.4,3931,28.7,48,1032,7.5,3481,25.4,634,4.6,333,2.4
Bronx,All Students,All Students,2002,6 year June,12032,6964,57.9,3459,28.7,49.7,1014,8.4,14.6,2445,20.3,35.1,3556,29.6,51.1,1024,8.5,3255,27.1,532,4.4,202,1.7
Bronx,All Students,All Students,2001,6 year June,11453,6360,55.5,2895,25.3,45.5,1022,8.9,16.1,1873,16.4,29.4,3501,30.6,55,610,5.3,3614,31.6,791,6.9,67,0.6
Brooklyn,All Students,All Students,2013,4 year August,20096,14954,74.4,13764,68.5,92.0,4031,20.1,27,9733,48.4,65.1,1190,5.9,8,3374,16.8,1497,7.4,118,0.6,141,0.7
Brooklyn,All Students,All Students,2012,4 year August,20823,15160,72.8,14110,67.8,93.1,3826,18.4,25.2,10284,49.4,67.8,1050,5,6.9,3781,18.2,1583,7.6,135,0.6,139,0.7
Brooklyn,All Students,All Students,2011,4 year August,20671,14638,70.8,13821,66.9,94.4,3787,18.3,25.9,10034,48.5,68.5,817,4,5.6,3986,19.3,1722,8.3,177,0.9,134,0.6
Brooklyn,All Students,All Students,2010,4 year August,21034,14439,68.6,13546,64.4,93.8,3699,17.6,25.6,9847,46.8,68.2,893,4.2,6.2,4430,21.1,1866,8.9,171,0.8,108,0.5
Brooklyn,All Students,All Students,2009,4 year August,21933,14513,66.2,13736,62.6,94.6,3690,16.8,25.4,10046,45.8,69.2,777,3.5,5.4,4792,21.8,2186,10,263,1.2,157,0.7
Brooklyn,All Students,All Students,2008,4 year August,22220,14429,64.9,13730,61.8,95.2,3702,16.7,25.7,10028,45.1,69.5,699,3.1,4.8,4810,21.6,2493,11.2,313,1.4,152,0.7
Brooklyn,All Students,All Students,2007,4 year August,22595,14508,64.2,12317,54.5,84.9,3583,15.9,24.7,8734,38.7,60.2,2191,9.7,15.1,4653,20.6,2808,12.4,276,1.2,323,1.4
Brooklyn,All Students,All Students,2006,4 year August,22177,14043,63.3,10945,49.4,77.9,3763,17.0,26.8,7182,32.4,51.1,3098,14,22.1,4648,21,2716,12.2,344,1.6,418,1.9
Brooklyn,All Students,All Students,2005,4 year August,22331,13508,60.5,9906,44.4,73.3,3667,16.4,27.1,6239,27.9,46.2,3602,16.1,26.7,5417,24.3,2577,11.5,406,1.8,423,1.9
Brooklyn,All Students,All Students,2013,4 year June,20096,14204,70.7,13181,65.6,92.8,4004,19.9,28.2,9177,45.7,64.6,1023,5.1,7.2,4123,20.5,1497,7.4,119,0.6,141,0.7
Brooklyn,All Students,All Students,2012,4 year June,20823,14406,69.2,13512,64.9,93.8,3806,18.3,26.4,9706,46.6,67.4,894,4.3,6.2,4530,21.8,1583,7.6,139,0.7,139,0.7
Brooklyn,All Students,All Students,2011,4 year June,20671,13847,67.0,13164,63.7,95.1,3754,18.2,27.1,9410,45.5,68,683,3.3,4.9,4772,23.1,1724,8.3,178,0.9,134,0.6
Brooklyn,All Students,All Students,2010,4 year June,21034,13421,63.8,12662,60.2,94.3,3643,17.3,27.1,9019,42.9,67.2,759,3.6,5.7,5444,25.9,1866,8.9,174,0.8,108,0.5
Brooklyn,All Students,All Students,2009,4 year June,21933,13376,61.0,12727,58.0,95.1,3647,16.6,27.3,9080,41.4,67.9,649,3,4.9,5910,26.9,2189,10,279,1.3,157,0.7
Brooklyn,All Students,All Students,2008,4 year June,22220,13364,60.1,12785,57.5,95.7,3660,16.5,27.4,9125,41.1,68.3,579,2.6,4.3,5847,26.3,2503,11.3,331,1.5,152,0.7
Brooklyn,All Students,All Students,2007,4 year June,22595,13445,59.5,11684,51.7,86.9,3539,15.7,26.3,8145,36,60.6,1761,7.8,13.1,5669,25.1,2845,12.6,297,1.3,312,1.4
Brooklyn,All Students,All Students,2006,4 year June,22177,13040,58.8,10440,47.1,80.1,3717,16.8,28.5,6723,30.3,51.6,2600,11.7,19.9,5636,25.4,2731,12.3,344,1.6,418,1.9
Brooklyn,All Students,All Students,2005,4 year June,22331,12603,56.4,9488,42.5,75.3,3618,16.2,28.7,5870,26.3,46.6,3115,13.9,24.7,6320,28.3,2578,11.5,407,1.8,423,1.9
Brooklyn,All Students,All Students,2004,4 year June,22353,12303,55.0,8872,39.7,72.1,3741,16.7,30.4,5131,23,41.7,3431,15.3,27.9,6487,29,2973,13.3,475,2.1,113,0.5
Brooklyn,All Students,All Students,2003,4 year June,21334,11064,51.9,7711,36.1,69.7,3239,15.2,29.3,4472,21,40.4,3353,15.7,30.3,6571,30.8,3198,15,299,1.4,180,0.8
Brooklyn,All Students,All Students,2002,4 year June,20808,10337,49.7,7050,33.9,68.2,2865,13.8,27.7,4185,20.1,40.5,3298,15.8,31.9,6368,30.6,3369,16.2,323,1.6,324,1.6
Brooklyn,All Students,All Students,2001,4 year June,19961,9758,48.9,6177,30.9,63.3,2829,14.2,29,3348,16.8,34.3,3591,18,36.8,6101,30.6,3547,17.8,483,2.4,65,0.3
Brooklyn,All Students,All Students,2012,5 year August,20783,16283,78.3,14921,71.8,91.6,3834,18.4,23.5,11087,53.3,68.1,1362,6.6,8.4,1683,8.1,2309,11.1,325,1.6,161,0.8
Brooklyn,All Students,All Students,2011,5 year August,20633,15851,76.8,14767,71.6,93.2,3796,18.4,23.9,10971,53.2,69.2,1084,5.3,6.8,1741,8.4,2517,12.2,339,1.6,170,0.8
Brooklyn,All Students,All Students,2010,5 year August,20910,15776,75.4,14603,69.8,92.6,3711,17.7,23.5,10892,52.1,69,1173,5.6,7.4,1952,9.3,2723,13,298,1.4,134,0.6
Brooklyn,All Students,All Students,2009,5 year August,21793,15884,72.9,14852,68.2,93.5,3702,17.0,23.3,11150,51.2,70.2,1032,4.7,6.5,2291,10.5,3100,14.2,297,1.4,196,0.9
Brooklyn,All Students,All Students,2008,5 year August,22029,15677,71.2,14773,67.1,94.2,3724,16.9,23.8,11049,50.2,70.5,904,4.1,5.8,2263,10.3,3333,15.1,549,2.5,177,0.8
Brooklyn,All Students,All Students,2007,5 year August,22355,15849,70.9,12964,58.0,81.8,3598,16.1,22.7,9366,41.9,59.1,2885,12.9,18.2,1396,6.2,4215,18.9,556,2.5,314,1.4
Brooklyn,All Students,All Students,2006,5 year August,22339,15518,69.5,11526,51.6,74.3,3788,17.0,24.4,7738,34.6,49.9,3992,17.9,25.7,1694,7.6,4102,18.4,594,2.7,407,1.8
Brooklyn,All Students,All Students,2012,5 year June,20783,16106,77.5,14802,71.2,91.9,3834,18.4,23.8,10968,52.8,68.1,1304,6.3,8.1,1853,8.9,2314,11.1,325,1.6,161,0.8
Brooklyn,All Students,All Students,2011,5 year June,20633,15679,76.0,14636,70.9,93.3,3795,18.4,24.2,10841,52.5,69.1,1043,5.1,6.7,1903,9.2,2522,12.2,340,1.6,170,0.8
Brooklyn,All Students,All Students,2010,5 year June,20910,15579,74.5,14447,69.1,92.7,3710,17.7,23.8,10737,51.3,68.9,1132,5.4,7.3,2134,10.2,2738,13.1,298,1.4,134,0.6
Brooklyn,All Students,All Students,2009,5 year June,21793,15605,71.6,14631,67.1,93.8,3701,17.0,23.7,10930,50.2,70,974,4.5,6.2,2550,11.7,3113,14.3,303,1.4,196,0.9
Brooklyn,All Students,All Students,2008,5 year June,22029,15409,69.9,14544,66.0,94.4,3718,16.9,24.1,10826,49.1,70.3,865,3.9,5.6,2501,11.4,3355,15.2,555,2.5,177,0.8
Brooklyn,All Students,All Students,2007,5 year June,22355,15627,69.9,12869,57.6,82.4,3598,16.1,23,9271,41.5,59.3,2758,12.3,17.6,1565,7,4264,19.1,560,2.5,314,1.4
Brooklyn,All Students,All Students,2006,5 year June,22339,15273,68.4,11456,51.3,75.0,3788,17.0,24.8,7668,34.3,50.2,3817,17.1,25,1900,8.5,4150,18.6,594,2.7,400,1.8
Brooklyn,All Students,All Students,2005,5 year June,22373,14898,66.6,10477,46.8,70.3,3724,16.6,25,6753,30.2,45.3,4421,19.8,29.7,2024,9,4274,19.1,635,2.8,523,2.3
Brooklyn,All Students,All Students,2004,5 year June,22426,14468,64.5,9628,42.9,66.5,3799,16.9,26.3,5829,26,40.3,4840,21.6,33.5,2477,11,4112,18.3,697,3.1,667,3
Brooklyn,All Students,All Students,2003,5 year June,21334,13221,62.0,8455,39.6,64.0,3320,15.6,25.1,5135,24.1,38.8,4766,22.3,36,2541,11.9,4707,22.1,596,2.8,247,1.2
Brooklyn,All Students,All Students,2002,5 year June,20808,12376,59.5,7657,36.8,61.9,2965,14.2,24,4692,22.5,37.9,4786,23,38.7,2729,13.1,4705,22.6,584,2.8,325,1.6
Brooklyn,All Students,All Students,2001,5 year June,19961,11715,58.7,6681,33.5,57.0,2916,14.6,24.9,3765,18.9,32.1,5052,25.3,43.1,2155,10.8,5270,26.4,723,3.6,65,0.3
Brooklyn,All Students,All Students,2011,6 year June,20621,16269,78.9,15064,73.1,92.6,3796,18.4,23.3,11268,54.6,69.3,1205,5.8,7.4,1053,5.1,2736,13.3,371,1.8,178,0.9
Brooklyn,All Students,All Students,2010,6 year June,20857,16200,77.7,14900,71.4,92.0,3713,17.8,22.9,11187,53.6,69.1,1300,6.2,8,1187,5.7,2976,14.3,331,1.6,134,0.6
Brooklyn,All Students,All Students,2009,6 year June,21743,16430,75.6,15273,70.2,93.0,3703,17.0,22.5,11570,53.2,70.4,1157,5.3,7,1359,6.3,3411,15.7,315,1.4,201,0.9
Brooklyn,All Students,All Students,2008,6 year June,21978,16144,73.5,15125,68.8,93.7,3724,16.9,23.1,11401,51.9,70.6,1019,4.6,6.3,1317,6,3563,16.2,744,3.4,178,0.8
Brooklyn,All Students,All Students,2007,6 year June,22257,16264,73.1,13133,59.0,80.7,3601,16.2,22.1,9532,42.8,58.6,3131,14.1,19.3,788,3.5,4310,19.4,589,2.6,287,1.3
Brooklyn,All Students,All Students,2006,6 year June,22039,15964,72.4,11667,52.9,73.1,3788,17.2,23.7,7879,35.8,49.4,4297,19.5,26.9,765,3.5,4253,19.3,632,2.9,399,1.8
Brooklyn,All Students,All Students,2005,6 year June,22315,15608,69.9,10677,47.8,68.4,3725,16.7,23.9,6952,31.2,44.5,4931,22.1,31.6,974,4.4,4563,20.4,677,3,466,2.1
Brooklyn,All Students,All Students,2004,6 year June,22397,15271,68.2,9836,43.9,64.4,3801,17.0,24.9,6035,26.9,39.5,5435,24.3,35.6,1318,5.9,4722,21.1,702,3.1,358,1.6
Brooklyn,All Students,All Students,2003,6 year June,21333,13914,65.2,8629,40.4,62.0,3323,15.6,23.9,5306,24.9,38.1,5285,24.8,38,1151,5.4,5163,24.2,642,3,441,2.1
Brooklyn,All Students,All Students,2002,6 year June,20808,13098,62.9,7791,37.4,59.5,2969,14.3,22.7,4822,23.2,36.8,5374,25.8,41,1252,6,5359,25.8,667,3.2,343,1.6
Brooklyn,All Students,All Students,2001,6 year June,19961,12288,61.6,6792,34.0,55.3,2927,14.7,23.8,3865,19.4,31.5,5532,27.7,45,907,4.5,5866,29.4,802,4,65,0.3
District 79,All Students,All Students,2006,4 year August,13,0,0.0,0,0.0,,0,0.0,,0,0,,0,0,,3,23.1,10,76.9,0,0,0,0
District 79,All Students,All Students,2005,4 year August,58,6,10.3,3,5.2,50.0,0,0.0,0,3,5.2,50,3,5.2,50,13,22.4,38,65.5,0,0,1,1.7
District 79,All Students,All Students,2006,4 year June,13,0,0.0,0,0.0,,0,0.0,,0,0,,0,0,,3,23.1,10,76.9,0,0,0,0
District 79,All Students,All Students,2005,4 year June,58,6,10.3,3,5.2,50.0,0,0.0,0,3,5.2,50,3,5.2,50,13,22.4,38,65.5,0,0,1,1.7
District 79,All Students,All Students,2004,4 year June,298,72,24.2,36,12.1,50.0,12,4.0,16.7,24,8.1,33.3,36,12.1,50,100,33.6,123,41.3,3,1,0,0
District 79,All Students,All Students,2003,4 year June,2410,657,27.3,288,12.0,43.8,57,2.4,8.7,231,9.6,35.2,369,15.3,56.2,496,20.6,1213,50.3,40,1.7,4,0.2
District 79,All Students,All Students,2002,4 year June,5812,551,9.5,143,2.5,26.0,8,0.1,1.5,135,2.3,24.5,408,7,74,1940,33.4,3264,56.2,51,0.9,6,0.1
District 79,All Students,All Students,2001,4 year June,9176,607,6.6,60,0.7,9.9,1,0.0,0.2,59,0.6,9.7,549,6,90.4,3187,34.7,5277,57.5,94,1,9,0.1
District 79,All Students,All Students,2005,5 year June,64,4,6.3,3,4.7,75.0,0,0.0,0,3,4.7,75,1,1.6,25,18,28.1,41,64.1,0,0,1,1.6
District 79,All Students,All Students,2004,5 year June,277,72,26.0,36,13.0,50.0,12,4.3,16.7,24,8.7,33.3,36,13,50,73,26.4,127,45.8,3,1.1,2,0.7
District 79,All Students,All Students,2003,5 year June,2410,657,27.3,288,12.0,43.8,57,2.4,8.7,231,9.6,35.2,369,15.3,56.2,496,20.6,1213,50.3,40,1.7,4,0.2
District 79,All Students,All Students,2002,5 year June,5812,1380,23.7,333,5.7,24.1,21,0.4,1.5,312,5.4,22.6,1052,18.1,76.2,560,9.6,3797,65.3,69,1.2,6,0.1
District 79,All Students,All Students,2001,5 year June,9176,1278,13.9,133,1.4,10.4,4,0.0,0.3,129,1.4,10.1,1149,12.5,89.9,2097,22.9,5674,61.8,115,1.3,9,0.1
District 79,All Students,All Students,2004,6 year June,311,72,23.2,36,11.6,50.0,12,3.9,16.7,24,7.7,33.3,36,11.6,50,104,33.4,132,42.4,3,1,0,0
District 79,All Students,All Students,2003,6 year June,2394,657,27.4,288,12.0,43.8,57,2.4,8.7,231,9.6,35.2,369,15.4,56.2,482,20.1,1206,50.4,40,1.7,9,0.4
District 79,All Students,All Students,2002,6 year June,5812,1380,23.7,333,5.7,24.1,21,0.4,1.5,312,5.4,22.6,1052,18.1,76.2,560,9.6,3797,65.3,69,1.2,6,0.1
District 79,All Students,All Students,2001,6 year June,9176,1704,18.6,211,2.3,12.4,5,0.1,0.3,206,2.2,12.1,1504,16.4,88.3,1356,14.8,5967,65,137,1.5,9,0.1
Manhattan,All Students,All Students,2013,4 year August,15280,11438,74.9,10695,70.0,93.5,3401,22.3,29.7,7294,47.7,63.8,743,4.9,6.5,2546,16.7,1117,7.3,55,0.4,115,0.8
Manhattan,All Students,All Students,2012,4 year August,15569,11637,74.7,11027,70.8,94.8,3202,20.6,27.5,7825,50.3,67.2,610,3.9,5.2,2575,16.5,1146,7.4,80,0.5,116,0.7
Manhattan,All Students,All Students,2011,4 year August,15360,11132,72.5,10537,68.6,94.7,3065,20.0,27.5,7472,48.6,67.1,595,3.9,5.3,2815,18.3,1189,7.7,124,0.8,88,0.6
Manhattan,All Students,All Students,2010,4 year August,15741,11108,70.6,10568,67.1,95.1,3060,19.4,27.5,7508,47.7,67.6,540,3.4,4.9,3111,19.8,1340,8.5,92,0.6,85,0.5
Manhattan,All Students,All Students,2009,4 year August,16291,10996,67.5,10560,64.8,96.0,2966,18.2,27,7594,46.6,69.1,436,2.7,4,3429,21,1580,9.7,141,0.9,134,0.8
Manhattan,All Students,All Students,2008,4 year August,16469,10972,66.6,10565,64.2,96.3,3020,18.3,27.5,7545,45.8,68.8,407,2.5,3.7,3317,20.1,1804,11,189,1.1,174,1.1
Manhattan,All Students,All Students,2007,4 year August,16198,10894,67.3,9538,58.9,87.6,3018,18.6,27.7,6520,40.3,59.8,1356,8.4,12.4,2966,18.3,1819,11.2,211,1.3,288,1.8
Manhattan,All Students,All Students,2006,4 year August,16416,10947,66.7,8993,54.8,82.2,2791,17.0,25.5,6202,37.8,56.7,1954,11.9,17.8,3194,19.5,1674,10.2,220,1.3,376,2.3
Manhattan,All Students,All Students,2005,4 year August,15843,10373,65.5,7868,49.7,75.9,2705,17.1,26.1,5163,32.6,49.8,2504,15.8,24.1,3318,20.9,1597,10.1,221,1.4,334,2.1
Manhattan,All Students,All Students,2013,4 year June,15280,10996,72.0,10344,67.7,94.1,3373,22.1,30.7,6971,45.6,63.4,652,4.3,5.9,2987,19.5,1117,7.3,56,0.4,115,0.8
Manhattan,All Students,All Students,2012,4 year June,15569,11196,71.9,10659,68.5,95.2,3186,20.5,28.5,7473,48,66.7,537,3.4,4.8,3016,19.4,1146,7.4,80,0.5,116,0.7
Manhattan,All Students,All Students,2011,4 year June,15360,10634,69.2,10111,65.8,95.1,3045,19.8,28.6,7066,46,66.4,523,3.4,4.9,3311,21.6,1189,7.7,125,0.8,88,0.6
Manhattan,All Students,All Students,2010,4 year June,15741,10487,66.6,10026,63.7,95.6,3030,19.2,28.9,6996,44.4,66.7,461,2.9,4.4,3729,23.7,1340,8.5,93,0.6,85,0.5
Manhattan,All Students,All Students,2009,4 year June,16291,10321,63.4,9950,61.1,96.4,2932,18.0,28.4,7018,43.1,68,371,2.3,3.6,4096,25.1,1581,9.7,146,0.9,134,0.8
Manhattan,All Students,All Students,2008,4 year June,16469,10338,62.8,9988,60.6,96.6,3004,18.2,29.1,6984,42.4,67.6,350,2.1,3.4,3934,23.9,1815,11,195,1.2,174,1.1
